StartDate;EndDate;Status;IPAddress;Progress;Seconds;Finished;RecordedDate;ResponseId;RecipientLastName;RecipientFirstName;RecipientEmail;ExternalReference;LocationLatitude;LocationLongitude;DistributionChannel;UserLanguage;Q_RecaptchaScore;consent;prolific_id;consume_dairy;country;birth_year;primary_shopper;milk_purch_freq;milk_cons_freq;milk_purch_loc;milk_purch_loc_othr;milk_fat;milk_fat_othr;milk_size;milk_size_othr;lactose_free;non_dairy;nd_soy;nd_almond;nd_oat;nd_coconut;nd_othr_nut;nd_othr;nd_othr_txt;nd_rsn_lactose;nd_rsn_allergy;nd_rsn_taste;nd_rsn_vegan;nd_rsn_shelflife;nd_rsn_inflammation;nd_rsn_antibiotic;nd_rsn_welfare;nd_rsn_othr;nd_rsn_othr_txt;C1;C2;C3;C4;rank_milk_type;rank_label_type;rank_addl_label;rank_date;rank_price;online_freq;read_label_freq;use_qr_code;foodwaste_familiar;up_milk;discard_afterdate;discard_ondate;discard_finish;discard_smell;discard_taste;date_quality;best_sell;foodwaste_sig;foodwaste_badfeel;foodwaste_wrong;foodwaste_consider;foodwaste_handle;share_social;promote_sust;age;gender;white;middle_east;black;native;asian;pacific;hispanic;race_othr;race_othr_txt;edu;hhinc;ms;children;hhsize;state;prolific_pid;group;vers_cbconjoint;revision_CBCONJOINT
8/2/2021 8:49;8/2/2021 9:01;IP Address;*******;100;742;TRUE;8/2/2021 9:01;R_1PUkvzAxQVjCm4Q;*******;*******;*******;*******;*******;*******;anonymous;EN;0.90000000000000002220446049250313080847263336181640625;I consent, begin the study.;5e602d66bc402a381b35f74a;Yes;United States;1985;Yes;Less frequently than every 14 days;Less than once a week;Small/local grocery stores;;Whole milk;;Gallon;;Never;Most of the time;Soymilk;Almond milk;;;;;;;;;;;;;;;;1;2;4;1;3;4;5;2;1;A few times a month;Most of the time;Definitely not;Slightly familiar;Strongly disagree;Neither agree nor disagree;Somewhat disagree;Somewhat disagree;Strongly agree;Strongly disagree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Strongly disagree;Somewhat disagree;26-35;Male;White;;;;;;;;;Bachelor's degree in college (4-year);$20,000 to $29,999;Never Married;No;2;Wyoming;5e602d66bc402a381b35f74a;Treatment;3;851f5ef0-6712-11eb-a885-4dab507d5fac
8/2/2021 8:57;8/2/2021 9:02;IP Address;*******;100;302;TRUE;8/2/2021 9:02;R_2eXBIVwqT2WM9ET;*******;*******;*******;*******;*******;*******;anonymous;EN;0.90000000000000002220446049250313080847263336181640625;I consent, begin the study.;558b20eefdf99b7dfdbac3c9;Yes;United States;1960;Yes;Approximately once a week;Multiple times a week;Large supermarkets (Harps, Tops, Sprouts, etc.);;2% Reduced fat milk;;Gallon;;About half the time;Never;;;;;;;;;;;;Longer product shelf life;;;;;;2;3;1;1;3;4;5;2;1;About once a month;Most of the time;Probably not;Very familiar;Somewhat agree;Somewhat disagree;Somewhat disagree;Neither agree nor disagree;Strongly agree;Neither agree nor disagree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Neither agree nor disagree;Somewhat agree;56-65;Female;White;;;;;;;;;Some college but no degree;Less than $10,000;Widowed;No;1;Kentucky;558b20eefdf99b7dfdbac3c9;Control;5;851f5ef0-6712-11eb-a885-4dab507d5fac
8/2/2021 8:49;8/2/2021 9:02;IP Address;*******;100;763;TRUE;8/2/2021 9:02;R_3hiiKcgCpzUYMKt;*******;*******;*******;*******;*******;*******;anonymous;EN;1;I consent, begin the study.;60202faacf8c4860c853823a;Yes;United States;1970;Yes;Multiple times a week;Multiple times a week;Large supermarkets (Harps, Tops, Sprouts, etc.);;2% Reduced fat milk;;Gallon;;Sometimes;Sometimes;;Almond milk;;;;;;;;;;;;;;Other (please specify):;diet;3;3;2;3;1;4;5;3;2;Less than once per month;Most of the time;Might or might not;Not familiar at all;Somewhat agree;Strongly agree;Strongly agree;Somewhat disagree;Somewhat disagree;Somewhat disagree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat disagree;Neither agree nor disagree;46-55;Female;White;;;;;;;;;Less than high school degree;$30,000 to $39,999;Married;Yes;6;Nevada;60202faacf8c4860c853823a;Control;4;851f5ef0-6712-11eb-a885-4dab507d5fac
8/2/2021 8:58;8/2/2021 9:04;IP Address;*******;100;400;TRUE;8/2/2021 9:04;R_1BPpPQ4pcJQljpr;*******;*******;*******;*******;*******;*******;anonymous;EN;0.90000000000000002220446049250313080847263336181640625;I consent, begin the study.;5f2c30b1d689ae0a4e09b401;Yes;United States;1980;Yes;Multiple times a week;Multiple times a week;Large/national big-box stores (Walmart, Target, K-Mart, etc.);;Whole milk;;Half-gallon;;Most of the time;Always;;;;Coconut milk;;;;;;;Vegan / Vegetarian diet or lifestyle;Longer product shelf life;Concerns about inflammation;;;;;3;3;2;2;2;1;4;3;5;A few times a week;Always;Definitely yes;Moderately familiar;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Neither agree nor disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Neither agree nor disagree;Strongly disagree;Strongly disagree;Somewhat disagree;Strongly disagree;Strongly disagree;36-45;Male;White;;;;;;;;;Bachelor's degree in college (4-year);$100,000 to $149,999;Married;Yes;4;New York;5f2c30b1d689ae0a4e09b401;Treatment;6;851f5ef0-6712-11eb-a885-4dab507d5fac
8/2/2021 8:59;8/2/2021 9:06;IP Address;*******;100;416;TRUE;8/2/2021 9:06;R_D0EskqqNA4gztkZ;*******;*******;*******;*******;*******;*******;anonymous;EN;0.90000000000000002220446049250313080847263336181640625;I consent, begin the study.;5e31f103a976891de17f30d2;Yes;United States;2000;Yes;Less frequently than every 14 days;Less than once a week;Large/national big-box stores (Walmart, Target, K-Mart, etc.);;Whole milk;;Quart;;Never;Never;;;;;;;;;;;;;;;;;;1;1;2;1;1;5;4;2;3;A few times a month;Never;Definitely not;Not familiar at all;Strongly disagree;;;;Somewhat agree;Strongly disagree;Somewhat disagree;Somewhat disagree;Strongly agree;Strongly agree;Strongly agree;Somewhat disagree;Somewhat disagree;Somewhat disagree;Somewhat disagree;25 or younger;Female;White;;;;;;;;;Some college but no degree;$10,000 to $19,999;Never Married;No;2;South Carolina;5e31f103a976891de17f30d2;Control;7;851f5ef0-6712-11eb-a885-4dab507d5fac
8/2/2021 9:03;8/2/2021 9:08;IP Address;*******;100;318;TRUE;8/2/2021 9:08;R_3DpvrUGcNQiZUfE;*******;*******;*******;*******;*******;*******;anonymous;EN;1;I consent, begin the study.;5ffa3c9f0e2bdf3f0fd55518;Yes;United States;1997;Yes;Approximately every 10 - 14 days;Multiple times a week;Large supermarkets (Harps, Tops, Sprouts, etc.);;2% Reduced fat milk;;Gallon;;Never;Never;;;;;;;;;;;;;;;;;;1;1;3;2;;;;;;A few times a week;Always;Probably yes;Slightly familiar;Somewhat disagree;Strongly agree;Strongly disagree;Somewhat disagree;Somewhat agree;Strongly disagree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Strongly disagree;Strongly disagree;25 or younger;Female;White;;;;;;;;;Bachelor's degree in college (4-year);$100,000 to $149,999;Never Married;No;2;Georgia;5ffa3c9f0e2bdf3f0fd55518;Control;9;851f5ef0-6712-11eb-a885-4dab507d5fac
8/2/2021 9:07;8/2/2021 9:13;IP Address;*******;100;334;TRUE;8/2/2021 9:13;R_3R4Ku5jdn4RaLrw;*******;*******;*******;*******;*******;*******;anonymous;EN;0.6999999999999999555910790149937383830547332763671875;I consent, begin the study.;601589ece9236e6760e0c428;Yes;United States;1980;Yes;Approximately once a week;Multiple times a week;;;Whole milk;;Gallon;;;Sometimes;Soymilk;Almond milk;Oat milk;;;;;;;;;;;;;;;2;2;3;1;1;3;4;5;2;A few times a month;Most of the time;Definitely yes;;Strongly agree;Strongly agree;;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Somewhat agree;;;;;Strongly agree;Strongly agree;Somewhat agree;36-45;Female;White;;;;;;;;;Professional degree (JD, MD);$10,000 to $19,999;Married;Yes;4;Virginia;601589ece9236e6760e0c428;Treatment;12;851f5ef0-6712-11eb-a885-4dab507d5fac
8/2/2021 9:08;8/2/2021 9:13;IP Address;*******;100;298;TRUE;8/2/2021 9:13;R_2uVBrKhUKfT0CfT;*******;*******;*******;*******;*******;*******;anonymous;EN;1;I consent, begin the study.;5cb044c4bfb3720012ee851d;Yes;United States;1996;No;Approximately every 10 - 14 days;Multiple times a week;Large supermarkets (Harps, Tops, Sprouts, etc.);;2% Reduced fat milk;;Quart;;Never;Never;;;;;;;;;;;;;;;;;;2;3;1;2;;;;;;About once a month;Always;Probably not;Not familiar at all;Strongly disagree;Somewhat agree;Somewhat disagree;Somewhat disagree;Strongly agree;Somewhat disagree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly disagree;Strongly disagree;25 or younger;Male;White;;;;;;;;;Some college but no degree;$10,000 to $19,999;Never Married;No;3;Illinois;5cb044c4bfb3720012ee851d;Control;11;851f5ef0-6712-11eb-a885-4dab507d5fac
8/2/2021 9:06;8/2/2021 9:13;IP Address;*******;100;435;TRUE;8/2/2021 9:13;R_Odt8fU6NKDz7IvD;*******;*******;*******;*******;*******;*******;anonymous;EN;0.59999999999999997779553950749686919152736663818359375;I consent, begin the study.;5f69602cf5d6dd1506d536b4;Yes;United States;1969;Yes;Multiple times a week;Multiple times a day;Small/local grocery stores;;Skim;;Gallon;;Sometimes;Sometimes;;Almond milk;;;;;;Lactose intolerance;;;;;;;;;;3;2;1;2;3;4;5;1;2;A few times a month;Most of the time;Definitely not;Not familiar at all;Somewhat disagree;Somewhat disagree;Strongly disagree;Strongly disagree;Somewhat disagree;Somewhat disagree;Somewhat agree;Neither agree nor disagree;Somewhat disagree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Strongly disagree;Strongly disagree;46-55;Female;White;;;;;;;;;Bachelor's degree in college (4-year);$50,000 to $59,999;Married;Yes;4;Wisconsin;5f69602cf5d6dd1506d536b4;Treatment;10;851f5ef0-6712-11eb-a885-4dab507d5fac
8/2/2021 9:10;8/2/2021 9:16;IP Address;*******;100;320;TRUE;8/2/2021 9:16;R_x45vpCIyZtgaj3r;*******;*******;*******;*******;*******;*******;anonymous;EN;0.90000000000000002220446049250313080847263336181640625;I consent, begin the study.;601f6a2231a2904b79df1671;Yes;United States;1993;Yes;Less frequently than every 14 days;Less than once a week;Large supermarkets (Harps, Tops, Sprouts, etc.);;2% Reduced fat milk;;Quart;;Never;Sometimes;Soymilk;Almond milk;;;;;;;;;;;;;;;;3;1;3;3;2;4;5;3;1;Less than once per month;About half the time;Definitely yes;Not familiar at all;Somewhat agree;Somewhat agree;Somewhat disagree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Neither agree nor disagree;Strongly agree;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;Strongly disagree;Strongly disagree;26-35;Other;White;;;;;;;;;Bachelor's degree in college (4-year);$40,000 to $49,999;Never Married;No;2;Arkansas;601f6a2231a2904b79df1671;Control;14;851f5ef0-6712-11eb-a885-4dab507d5fac
